Reference period start date,Reference period end date,Child age group,Region
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,Central Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,North Coast
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Far North Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,South West Queensland
01072012,30062013,5 to 9,North Queensland
01072012,30062013,5 to 9,Brisbane
01072012,30062013,5 to 9,South East Queensland
01072012,30062013,5 to 9,Other
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Other
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Other
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Coast
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Far North Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,Central Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,North Queensland
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,Brisbane
01072012,30062013,10 to 14,South East Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,10 to 14,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
