Reference period start date,Reference period end date,Child age group,Region
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Other
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Far North Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,North Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,Central Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,North Coast
01072012,30062013,15 to 17,Brisbane
01072012,30062013,15 to 17,South East Queensland
01072012,30062013,15 to 17,South West Queensland
01072012,30062013,15 to 17,South East Queensland
