Reference period  start date,Reference period end date,Length in out-of-home care
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,1 year to < 2 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,2 years to < 5 years
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,5 years or more
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
01072012,30062013,6 months to < 1 year
